,,,Loc #,State Total,"152,139.62","648,972,840.96 ","40,467.85","96,836,327.38 ","31,459.30 ","68,733,540.23 ","5,846.82","4,866,428.29 ",34.55 ,"147,375.73 "," 819,556,512.59 "," 363,516,836 ","337,545,735,414",,," $180,171,742.78 "," 664,710,118.36 "," 59,449,971.16 "," 47,559,976.93 "," 716,948,319.53 "," 3,200,171.37 "," 715,470,266.68 ",,"1,078,987,102.68 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Chichester,TRUE,99,Chichester, 277.75 ," 1,184,789.61 ", 41.46 ," 99,220.03 ", 48.57 ," 106,107.19 ", -   , -   , -   , -   ," 1,390,116.83 "," 606,438 "," 550,327,271.11 "," 13,272,411.52 ", -   , -   ," 783,678.83 "," 141,811.82 ","113,449.46","896,085.03", -   ," 897,128.29 ",," 1,503,566.29 ",,,,,,
101,Claremont,TRUE,101,Claremont," 1,488.02 "," 6,347,371.71 ", 733.26 ," 1,754,621.99 ", 383.88 ," 838,713.32 ", 22.95 ," 19,100.25 ", 0.60 ," 2,559.38 "," 8,962,366.65 "," 1,458,542 "," 1,365,482,104.50 "," 1,862,218.45 "," 11,059.77 "," 8,109,639.48 "," 15,613,464.13 "," 1,646,928.17 ","1,317,542.54","16,206,000.46", -   ," 16,931,006.67 ",," 18,389,548.67 ",,,,,,
103,Clarksville,TRUE,103,Clarksville, 15.18 ," 64,757.96 ", 2.62 ," 6,263.47 ", 1.07 ," 2,333.41 ", -   , -   , -   , -   ," 73,354.84 "," 123,638 "," 113,184,347.13 "," 43,241,393.37 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 123,638.00 ",,,,,,
105,Colebrook,TRUE,105,Colebrook, 183.44 ," 782,491.99 ", 72.92 ," 174,501.06 ", 38.92 ," 85,023.05 ", -   , -   , -   , -   ," 1,042,016.10 "," 382,555 "," 373,165,214.42 "," 5,117,186.74 "," 3,866.29 "," 281,945.07 "," 941,406.17 "," 745,257.01 ","596,205.61","1,925,253.47"," 291,379.02 "," 1,828,990.80 ",," 2,211,545.80 ",,,,,,
107,Columbia,TRUE,107,Columbia, 50.05 ," 213,495.71 ", 16.05 ," 38,406.61 ", 15.00 ," 32,772.60 ", -   , -   , -   , -   ," 284,674.92 "," 140,474 "," 164,935,843.66 "," 10,276,312.53 ", -   , -   ," 144,200.92 "," 201,950.76 ","161,560.61","329,305.70"," 7,078.89 "," 312,840.42 ",," 453,314.42 ",,,,,,
111,Concord,TRUE,111,Concord," 3,565.66 "," 15,209,802.30 "," 1,287.46 "," 3,080,781.13 ", 761.58 ," 1,663,940.93 ", 192.17 ," 159,950.85 ", 0.45 ," 1,919.54 "," 20,116,394.75 "," 7,130,812 "," 6,709,991,098.00 "," 5,211,818.45 "," 3,657.16 "," 4,708,429.89 "," 17,694,012.64 ", -   ,0.00,"18,364,996.00", -   ," 17,694,012.64 ",," 24,824,824.64 ",,,,,,
113,Conway,TRUE,113,Conway, 980.68 ," 4,183,207.79 ", 373.30 ," 893,283.98 ", 199.36 ," 435,578.00 ", 14.47 ," 12,046.75 ", 0.68 ," 2,879.31 "," 5,526,995.83 "," 3,567,733 "," 3,275,360,160.92 "," 8,774,001.38 ", -   , -   ," 1,959,262.83 "," 382,635.86 ","306,108.68","2,357,126.89", -   ," 2,265,371.51 ",," 5,833,104.51 ",,,,,,
115,Cornish,TRUE,115,Cornish, 166.85 ," 711,723.74 ", 22.83 ," 54,631.80 ", 25.46 ," 55,627.77 ", -   , -   , -   , -   ," 821,983.31 "," 359,660 "," 331,003,666.46 "," 14,498,246.50 ", -   , -   ," 462,323.31 "," 346,131.45 ","276,905.16","738,774.03", -   ," 739,228.47 ",," 1,098,888.47 ",,,,,,
117,Croydon,TRUE,117,Croydon, 75.60 ," 322,493.47 ", 22.04 ," 52,747.61 ", 20.17 ," 44,059.05 ", -   , -   , -   , -   ," 419,300.13 "," 177,557 "," 167,227,446.96 "," 7,586,350.75 ", -   , -   ," 241,743.13 "," 155,024.51 ","124,019.60","337,595.98", -   ," 365,762.73 ",," 543,319.73 ",,,,,,
119,Dalton,TRUE,119,Dalton, 86.15 ," 367,499.39 ", 51.90 ," 124,200.68 ", 24.72 ," 54,000.29 ", 6.00 ," 4,993.92 ", -   , -   ," 550,694.28 "," 174,143 "," 173,399,680.32 "," 3,340,815.44 "," 7,792.07 "," 404,435.04 "," 780,986.32 ", -   ,0.00,"781,932.62", -   ," 780,986.32 ",," 955,129.32 ",,,,,,
