,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
113,Conway,TRUE,113,Conway,"1,159.87","1,101.97","1,159.87","4,392,050.75",465.9,354.85,465.9,"882,097.22",173.8,171.88,173.8,"354,056.03",10.85,10.97,10.97,"8,124.82",18,32.43,32.43,"24,028.86","5,660,357.68","3,270,747",40.17%,"233,939.89","208,299.30","2,597,909.98","793,690.00","793,690.00","2,568,444.10","3,391,599.98","6,662,346.98"
115,Cornish,TRUE,115,Cornish,137.5,140.08,140.08,"530,450.10",27.56,29.39,29.39,"55,647.89",18.12,20.64,20.64,"42,054.91", -   , -   , -   , -   ,4,1,4,"2,963.48","631,116.38","353,688",20.98%,"7,707.97","6,863.15","284,291.53","418,638.00","418,638.00","671,752.89","702,929.53","1,056,617.53"
117,Croydon,TRUE,117,Croydon,83.11,78.05,83.11,"314,695.30",23.81,17.77,23.81,"45,070.48",15.5,14.39,15.5,"31,574.59", -   , -   , -   , -   ,1, -   ,1,740.87,"392,081.24","177,205",28.64%,"8,522.19","7,588.13","222,464.37","190,872.00","190,872.00","369,405.46","413,336.37","590,541.37"
119,Dalton,TRUE,119,Dalton,113.23,104.79,113.23,"428,755.94",57.4,58.26,58.26,"110,305.58",30,33.82,33.82,"68,903.21", -   , -   , -   , -   ,1,1,1,740.87,"608,705.60","182,559",51.45%,"34,956.24","31,124.92","457,271.52","329,178.00","329,178.00","708,707.44","786,449.52","969,008.52"
123,Danbury,TRUE,123,Danbury,139.43,133.72,139.43,"527,986.50",53.34,58.83,58.83,"111,382.31",19.43,17.72,19.43,"39,584.71",1,0.41,1,740.87,1, -   ,1,740.87,"680,435.26","243,174",42.19%,"31,025.00","27,624.56","464,885.82","390,811.00","390,811.00","720,530.37","855,696.82","1,098,870.82"
125,Danville,TRUE,125,Danville,569.76,546.11,569.76,"2,157,505.58",85.61,65.73,85.61,"162,090.34",132.54,138.64,138.64,"282,421.06",3,3,3,"2,222.61",7,12,12,"8,890.44","2,613,130.03","857,991",15.03%,"16,084.30","14,321.41","1,769,460.44","1,082,128.00","1,082,128.00","2,532,669.72","2,851,588.44","3,709,579.44"
127,Deerfield,TRUE,127,Deerfield,677.62,659.18,677.62,"2,565,928.29",102.27,76.31,102.27,"193,632.49",133.72,141.59,141.59,"288,430.74",2,2,2,"1,481.74",7.76,8,8,"5,926.96","3,055,400.22","1,172,450",15.09%,"19,290.94","17,176.59","1,900,126.81","341,247.00","341,247.00","2,024,085.34","2,241,373.81","3,413,823.81"
129,Deering,TRUE,129,Deering,188.11,194.11,194.11,"735,037.28",77.95,62.63,77.95,"147,576.53",37.34,39.66,39.66,"80,783.43", -   , -   , -   , -   ,1,2,2,"1,481.74","964,878.98","386,111",40.16%,"39,128.84","34,840.19","613,608.17","398,400.00","398,400.00","868,132.52","1,012,008.17","1,398,119.17"
131,Derry,TRUE,131,Derry,"4,714.56","4,655.41","4,714.56","17,852,431.23","1,051.61",963.54,"1,051.61","1,991,034.25","1,015.78","1,044.16","1,044.16","2,127,058.80",40.4,36.93,40.4,"29,931.59",76.86,77.87,77.87,"57,693.62","22,058,149.49","6,617,882",22.31%,"293,267.74","261,124.62","15,701,392.11","8,658,713.00","8,658,713.00","22,535,126.42","24,360,105.11","30,977,987.11"
133,Dix's Grant,TRUE,133,Dix's Grant,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,047",0.00%, -   , -   , -   , -   , -   ,0, -   ,"2,047.00"
