,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Orford,"284,963","320,164","605,127","757,053",0,"363,723","393,330","327,707",0,"327,707 "
Ossipee,"1,688,724","1,643,236","3,331,960","3,626,155",0,"1,631,252","1,994,903","1,942,033",0,"1,942,033 "
Pelham,"3,121,609","3,580,843","6,702,452","8,059,937",0,"3,450,734","4,609,203","3,589,850",0,"3,589,850 "
Pembroke,"4,805,559","1,398,041","6,203,600","5,672,275","1,488,738","1,374,341","5,786,672","5,526,393",0,"5,526,393 "
Penacook,"2,955,112","784,657","3,739,769","3,741,901","943,438","804,417","3,880,922","3,398,379",0,"3,398,379 "
Peterborough,"2,107,386","1,576,623","3,684,009","5,004,067",0,"1,724,616","3,279,451","2,423,494",0,"2,423,494 "
Piermont,"430,865","192,944","623,809","576,079",0,"234,623","341,456","341,456","47,730","389,186 "
Pinkham's Grant,0,"7,426","7,426",0,0,"6,244",0,0,"1,182","1,182 "
Pittsburg,"13,557","637,726","651,283","609,525",0,"615,913",0,0,"35,370","35,370 "
Pittsfield,"4,222,570","659,443","4,882,013","3,388,157","1,324,920","679,960","4,033,117","4,033,117","168,936","4,202,053 "
Plainfield,"820,644","603,518","1,424,162","1,382,476",0,"629,231","753,245","753,245","41,686","794,931 "
Plaistow,"1,862,214","2,222,115","4,084,329","5,078,493",0,"2,100,716","2,977,777","2,141,546",0,"2,141,546 "
Plymouth,"3,308,494","887,426","4,195,920","3,476,355","793,263","956,643","3,312,975","3,312,975",0,"3,312,975 "
Portsmouth,0,"8,669,658","8,669,658","10,177,119",0,"9,038,295","1,138,824",0,0,0 
Randolph,"14,693","104,862","119,555","148,721",0,"125,192","23,529","16,897",0,"16,897 "
Raymond,"5,641,539","2,073,880","7,715,419","7,538,790",0,"2,040,278","5,498,512","5,498,512","176,629","5,675,141 "
Richmond,"859,190","218,112","1,077,302","935,059","380,840","233,065","1,082,834","988,069",0,"988,069 "
Rindge,"1,356,512","1,401,194","2,757,706","3,654,112",0,"1,252,490","2,401,622","1,559,989",0,"1,559,989 "
Rochester,"19,528,790","5,221,900","24,750,690","25,076,450","5,311,063","5,165,725","25,221,788","22,458,109",0,"22,458,109 "
Rollinsford,"468,747","595,041","1,063,788","1,473,216",0,"592,499","880,717","539,059",0,"539,059 "
Roxbury,"50,947","59,652","110,599","101,852",0,"62,023","39,829","39,829","8,747","48,576 "
Rumney,"790,885","423,329","1,214,214","1,575,765",0,"426,975","1,148,790","909,518",0,"909,518 "
Rye,0,"4,097,284","4,097,284","2,708,187",0,"4,134,468",0,0,0,0 
Salem,"4,623,759","9,920,903","14,544,662","17,914,075",0,"10,102,755","7,811,320","5,317,323",0,"5,317,323 "
Salisbury,"574,311","334,654","908,965","884,726",0,"325,652","559,074","559,074","24,239","583,313 "
