 ,,,,,, ,, , ,,,,,,,,"Oct. 6, 2003",
,,,,,,,,,,,,,,, Includes home school.  Replaces 7/7/03.,,,
 ,NH Department of Education,,,,,,,,,,,,,,,,,
,"Division of Program Support, Bureau of Informaton Services",,,,,,,,,,,,,,,,,
,"101 Pleasant St., Concord NH 03301",,,,,,,,,,,,,,,,,
,603-271-2778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,FY04 Adequacy Aid and Targeted Aid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,00-01,00-01,00-01,,,Poverty Wt. =,Poverty  ,,Total Wt.  ,FY01,If Tuition,FY04,Reduced to Amt. Spent,FY04,FY04,Statewide,FY04,
FY04 Adequacy,Adj. ELEM,High,Partic-,,Elem,(Loc F/R% less,Wt.  X,Total, ADM-R,Reg. Elem,All,Cost of an,, Targeted ,Cost of an,Education,Adequate ,
Base Cost,ADM-R,,ipating,00-01,F/R,85% of St Ave),Elem ADM,Weighted,times Base,To/From Sch,FY01,Adequate,,Aid,Adequate,Propert Tax,Education ,
"$3,390 ",,Weight of,Home,Spec Ed,Rate,X 5 times Loc%,Max = Elem,ADM-R,Cost of ,Transport,Spent,Education ,,, Education  ,at $4.92,Grant &,
 ,,1.2,School,ADM-R,Oct. '00,Max = Loc %,F/R ADM,w/o home,"$3,390 ",at 100%," 198:41,II", ,,,& Targeted Aid," Per $1,000  ", Targeted Aid ,
Easton,14.3,14.4,0.0,4.0,14.17%,0.00%,0.0,32.7,"110,853","10,305",,"121,158",,0,"121,158","160,588",0,
Eaton,48.1,17.0,0.0,3.6,6.24%,0.00%,0.0,68.7,"232,893","55,338","548,702","288,231",,0,"288,231","226,221","62,010",
Effingham,152.6,78.1,0.0,21.3,23.07%,8.80%,13.4,265.4,"899,706","48,828",,"948,534",,"10,112","958,646","445,259","513,387",
Ellsworth,4.5,5.8,0.0,1.5,25.88%,13.51%,0.6,12.4,"42,036","2,380","92,924","44,416",,0,"44,416","37,433","6,983",
Enfield,417.2,210.8,0.0,84.1,21.80%,6.93%,28.9,741.0,"2,511,990","92,273",,"2,604,263",,0,"2,604,263","1,317,349","1,286,914",
Epping,681.8,338.5,0.0,155.2,13.01%,0.00%,0.0,"1,175.5","3,984,945","121,573",,"4,106,518",,"100,867","4,207,385","1,653,438","2,553,947",
Epsom,461.8,221.5,0.1,70.2,12.42%,0.00%,0.0,753.6,"2,554,704","167,265",,"2,721,969",,"27,045","2,749,014","1,175,049","1,573,965",
Errol,20.7,12.7,0.0,6.3,39.60%,39.60%,8.2,47.9,"162,381","16,144",,"178,525",,0,"178,525","194,416",0,
Exeter,"1,612.8",856.4,0.4,280.8,9.35%,0.00%,0.0,"2,750.4","9,323,856","320,407",,"9,644,263",,"236,411","9,880,674","5,227,351","4,653,323",
Farmington,788.8,425.9,0.0,178.1,38.67%,38.67%,305.0,"1,697.8","5,755,542","170,991",,"5,926,533",,"192,457","6,118,990","1,253,295","4,865,695",
