"July 13, 2006",NH Department of Education,,,,
,Information Services,,,,
"Per HB100, Excess to ",FY07 Equitable Education Grants,,,,
Remit columns removed.,and Statewide Enhanced Education Tax Assessment,,,,
,,,,,
,A,B,C,D,
FY07,,FY06/FY07,for FY07,FY07,
,,Formula plus,State Tax,Statewide,
,FY03,Transition,Calculation,Enhanced,
,ADM-R,Grants,4/1/04,Education,
,,,Equalized,Tax @,
,K <= 0.5,(See FY06 for,Valuations,$2.515 ,
,,calculations),without Utilities,"per $1,000",
A&G Academy Grant,,,"656,732","1,652",
Bean's Grant,,,,,
Bean's Purchase,,,"14,700",37,
Chandler's Purchase,,,"27,890",70,
Crawford's Purchase,,,"129,310",325,
Cutt's Grant,,,,,
Erving's Location,,,"88,203",222,
Green's Grant,,,"3,464,351","8,713",
Hadley's Purchase,,,,,
Kilkenny,,,,,
Livermore,,,"81,840",206,
Low & Burbank's Grant,,,,,
Sargent's Purchase,,,"2,980,616","7,496",
Second College Grant,,,"1,355,260","3,408",
Thomas & Merserve's Purchase,,,"4,949,255","12,447",
,,,,,
,,,,,
,,,,,
