,,,,,,,,,,"November 18, 2008"
New Hampshire Department of Education,,,,,,,,,,
Commissioner's Office,,,,,,,,,,
Estimated FY10  Transition Adequate Education Aid,,,,,,,,,,
"Municipal Summary of Adequacy Aid, Fiscal Disparity Aid and Transition Grant",,,,,,,,,,
,,,,,,,,,,
,,,,,,State-Wide,Calculated,Prelim Grant,Hold Harm-,FY10
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Grant =,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,FY10/11 Calcu-,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,lated Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.135,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Newton,"1,963,438","1,065,759","3,029,197","2,915,601",0,"1,062,130","1,853,471","1,853,471","113,596","1,967,067 "
North Hampton,0,"2,550,897","2,550,897","2,430,020",0,"2,094,233","335,787",0,"456,664","456,664 "
Northfield,"4,048,026","787,529","4,835,555","4,013,308","1,640,280","775,024","4,878,564","4,655,230",0,"4,655,230 "
Northumberland,"2,366,872","288,634","2,655,506","2,146,967","773,820","293,787","2,627,000","2,627,000",0,"2,627,000 "
Northwood,"2,261,596","1,202,462","3,464,058","3,043,265",0,"1,168,364","1,874,901","1,874,901","420,793","2,295,694 "
Nottingham,"1,015,413","1,333,300","2,348,713","3,196,845",0,"1,341,073","1,855,772","1,167,725",0,"1,167,725 "
Odell,0,"5,305","5,305",0,0,"5,124",0,0,181,181 
Orange,"217,072","59,386","276,458","262,670","111,280","59,925","314,025","249,633",0,"249,633 "
Orford,"284,963","320,164","605,127","757,053",0,"323,112","433,941","327,707",0,"327,707 "
Ossipee,"1,688,724","1,643,236","3,331,960","3,626,155",0,"1,656,119","1,970,036","1,942,033",0,"1,942,033 "
Pelham,"3,121,609","3,580,843","6,702,452","8,059,937",0,"3,456,341","4,603,596","3,589,850",0,"3,589,850 "
Pembroke,"4,805,559","1,398,041","6,203,600","5,672,275","1,488,738","1,393,997","5,767,016","5,526,393",0,"5,526,393 "
Penacook,"2,955,112","784,657","3,739,769","3,741,901","943,438","798,109","3,887,230","3,398,379",0,"3,398,379 "
Peterborough,"2,107,386","1,576,623","3,684,009","5,004,067",0,"1,604,576","3,399,491","2,423,494",0,"2,423,494 "
Piermont,"430,865","192,944","623,809","576,079",0,"228,339","347,740","347,740","47,730","395,470 "
Pinkham's Grant,0,"7,426","7,426",0,0,"7,167",0,0,259,259 
Pittsburg,"13,557","637,726","651,283","609,525",0,"658,206",0,0,0,0 
Pittsfield,"4,222,570","659,443","4,882,013","3,388,157","1,324,920","657,261","4,055,816","4,055,816","168,936","4,224,752 "
Plainfield,"820,644","603,518","1,424,162","1,382,476",0,"588,524","793,952","793,952","41,686","835,638 "
Plaistow,"1,862,214","2,222,115","4,084,329","5,078,493",0,"2,201,252","2,877,241","2,141,546",0,"2,141,546 "
Plymouth,"3,308,494","887,426","4,195,920","3,476,355","793,263","922,112","3,347,506","3,347,506",0,"3,347,506 "
Portsmouth,0,"8,669,658","8,669,658","10,177,119",0,"8,447,047","1,730,072",0,"222,611","222,611 "
Randolph,"14,693","104,862","119,555","148,721",0,"118,309","30,412","16,897",0,"16,897 "
Raymond,"5,641,539","2,073,880","7,715,419","7,538,790",0,"2,060,901","5,477,889","5,477,889","176,629","5,654,518 "
